交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-04-01 21:37:00.353098,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794210258722623488,4200000077201804010234646390,WX000000073126,odbfdwaJcWdCt_ILekxgS5Vz6g-E,weixin.MICROPAY,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 02:27:50.601486,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793053473823920128,4200000077201804019480125085,WX000000072335,odbfdwVTvLX8-f10-AMi6Livb3to,weixin.MICROPAY,交易,CFT,CNY,835,0,,,,,,厦门市第二医院门诊充值,无,0,0,835,,,,,
2018-04-01 09:43:44.603731,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793492261808771072,4200000077201804019562114480,WX000000072667,odbfdwQyBfTG3PNiGTC8KNpbVgYE,weixin.NATIVE,交易,CFT,CNY,30000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,30000,,,,,
2018-04-01 04:53:14.335985,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793199833810341888,4200000077201804019579851034,WX000000072354,odbfdwSXWHJiinVmkp76yn5VPSwo,weixin.MICROPAY,交易,CCB_DEBIT,CNY,5000,0,,,,,,厦门市第二医院门诊充值,无,0,0,5000,,,,,
2018-04-01 09:46:28.646135,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793495017349582848,4200000077201804019621866770,WX000000072673,odbfdwZD5TltPTqtUu-G_nFsvg6s,weixin.MICROPAY,交易,CFT,CNY,3000,0,,,,,,厦门市第二医院门诊充值,无,0,0,3000,,,,,
2018-04-01 07:59:59.251671,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793387818086436864,4200000077201804019628906037,WX000000072543,odbfdwePK4wTTdySoTEWbLofWftA,weixin.NATIVE,交易,ICBC_DEBIT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 08:31:28.304292,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793419511404564480,4200000077201804019651693166,WX000000072562,odbfdwX-zzCZol-nubfki-oeM8w8,weixin.NATIVE,交易,CFT,CNY,5000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,5000,,,,,
2018-04-01 10:24:43.098088,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793533508678193152,4200000077201804019663583783,WX000000072744,odbfdweoFiUThFu0O-YE-wPsPNdw,weixin.NATIVE,交易,ABC_DEBIT,CNY,1000,13,,,,,,厦门市第二医院门诊微信充值,无,0,0,1000,,,,,
2018-04-01 10:11:48.284782,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793520512644550656,4200000077201804019672800659,WX000000072711,odbfdwR3rTmPU1KxREhzEclZWNSY,weixin.MICROPAY,交易,CFT,CNY,1000000,0,,,,,,厦门市第二医院住院充值,无,0,0,1000000,,,,,
2018-04-01 14:24:44.600039,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793775128975642624,4200000077201804019896025406,WX000000072892,odbfdwSr37PVr1KTXeiveiR_rRjY,weixin.MICROPAY,交易,CCB_DEBIT,CNY,20000,0,,,,,,厦门市第二医院门诊充值,无,0,0,20000,,,,,
2018-04-01 16:05:26.333124,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793876489784922112,4200000077201804019960691305,WX000000072999,odbfdwS1Bt_ifFrDirCe2rGAZb6w,weixin.NATIVE,交易,CFT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 16:42:44.642084,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793914042697256960,4200000078201804010017633315,WX000000073024,odbfdwU7hYUH3n4Reasr01FKEj1Y,weixin.NATIVE,交易,CFT,CNY,1000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,1000,,,,,
2018-04-01 21:57:15.514317,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794230645707640832,4200000078201804010189046777,WX000000073135,odbfdwRuPt_MU4KwUgoW6IDhmHUQ,weixin.MICROPAY,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 03:30:45.092963,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793116799274717184,4200000078201804019527603232,WX000000072342,odbfdwSXWHJiinVmkp76yn5VPSwo,weixin.MICROPAY,交易,CCB_DEBIT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 04:46:06.752001,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793192660124438528,4200000078201804019548437405,WX000000072352,odbfdwSXWHJiinVmkp76yn5VPSwo,weixin.MICROPAY,交易,CCB_DEBIT,CNY,15391,0,,,,,,厦门市第二医院门诊充值,无,0,0,15391,,,,,
2018-04-01 08:06:23.136347,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793394261526712320,4200000078201804019628308555,WX000000072546,odbfdwWZ3c_khTqOfqoUdi9eVPmI,weixin.MICROPAY,交易,CFT,CNY,11020,0,,,,,,厦门市第二医院门诊充值,无,0,0,11020,,,,,
2018-04-01 09:53:55.377963,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793502512268840960,4200000078201804019648612396,WX000000072688,odbfdwYRhR6RizBrNzMyAOoWL_gg,weixin.MICROPAY,交易,CFT,CNY,3000,0,,,,,,厦门市第二医院门诊充值,无,0,0,3000,,,,,
2018-04-01 09:51:16.342373,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793499844086992896,4200000078201804019673031012,WX000000072685,odbfdwd_DSf1pQchSHVQPnn-Ywvw,weixin.MICROPAY,交易,ICBC_DEBIT,CNY,500000,0,,,,,,厦门市第二医院住院充值,无,0,0,500000,,,,,
2018-04-01 11:18:48.714221,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793587964249772032,4200000078201804019724530917,WX000000072798,odbfdwX5ibcWsL67xU8DOdIHVKtQ,weixin.MICROPAY,交易,ABC_DEBIT,CNY,7500,0,,,,,,厦门市第二医院门诊充值,无,0,0,7500,,,,,
2018-04-01 11:37:50.478765,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793607119904575488,4200000078201804019741294438,WX000000072813,odbfdwZM7MLqIvCjvN21eyU8Ro6w,weixin.MICROPAY,交易,LQT,CNY,500,0,,,,,,厦门市第二医院门诊充值,无,0,0,500,,,,,
2018-04-01 14:34:16.885317,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793784727724232704,4200000078201804019823371264,WX000000072905,odbfdwW72oLcQc8zRg0gv1uKUkAg,weixin.NATIVE,交易,CFT,CNY,500,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,500,,,,,
